# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.max.wait.ms,1767821918621000000,1767821923778000000,0
writeAction.wait.ms,1767821918621000000,1767821923778000000,0
writeAction.median.wait.ms,1767821918621000000,1767821923778000000,0
writeAction.count,1767821918621000000,1767821923778000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1767821918621000000,1767821923778000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1767821918621000000,1767821923778000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1767821918621000000,1767821923778000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1767821918621000000,1767821923778000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1767821918621000000,1767821923778000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1767821918621000000,1767821923778000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1767821918621000000,1767821923778000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1767821918621000000,1767821923778000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1767821918621000000,1767821923778000000,1
workspaceModel.load.cache.metadata.from.file.ms,1767821918621000000,1767821923778000000,0
workspaceModel.do.save.caches.ms,1767821918621000000,1767821923778000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1767821918621000000,1767821923778000000,0
jps.load.initial.state.ms,1767821918621000000,1767821923778000000,7
workspaceModel.mutableEntityStorage.has.same.entities.ms,1767821918621000000,1767821923778000000,0
workspaceModel.mutableEntityStorage.instances.count,1767821918621000000,1767821923778000000,3
workspaceModel.load.cache.from.file.ms,1767821918621000000,1767821923778000000,0
jps.global.get.library.by.name.ms,1767821918621000000,1767821923778000000,0
jps.global.initialize.library.bridges.ms,1767821918621000000,1767821923778000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1767821918621000000,1767821923778000000,0
jps.global.get.libraries.ms,1767821918621000000,1767821923778000000,0
workspaceModel.sync.entities.ms,1767821918621000000,1767821923778000000,0
workspaceModel.mutableEntityStorage.entities.ms,1767821918621000000,1767821923778000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1767821918621000000,1767821923778000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1767821918621000000,1767821923778000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1767821918621000000,1767821923778000000,0
jps.global.handle.changed.events.ms,1767821918621000000,1767821923778000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1767821918621000000,1767821923778000000,0
workspaceModel.global.updates.count,1767821918621000000,1767821923778000000,0
workspaceModel.global.apply.state.to.project.ms,1767821918621000000,1767821923778000000,0
workspaceModel.global.updates.ms,1767821918621000000,1767821923778000000,0
jps.global.get.library.ms,1767821918621000000,1767821923778000000,0
